,,First Bus,,,,Peak bus
Convention Center,,25,,34,,50
SC & Barack Obama,06:01:00 AM,00:23:00,09:17:00 AM,00:30:00,05:40:00 AM,00:44:00
Race/Meridian,,20,,27,,37
SC & Bascom,05:56:00 AM,00:18:00,09:11:00 AM,00:24:00,05:27:00 AM,00:31:00
Santana Row,,14,,21,,26
SC & Winchester,05:51:00 AM,00:13:00,09:06:00 AM,00:19:00,05:19:00 AM,00:23:00
Cypress,,11,,17,,18
SC & Kiely,05:47:00 AM,00:09:00,09:01:00 AM,00:14:00,05:11:00 AM,00:15:00
Lawrance,,6,,11,,11
Stern,,4,,8,,8
SC & Miller(Wolf),05:41:00 AM,00:03:00,08:53:00 AM,00:06:00,05:01:00 AM,00:05:00
De Anza,,1,,2,,2
SC & Stelling,05:38:00 AM,00:00:00,08:47:00 AM,00:00:00,04:56:00 AM,00:00:00
